Id,cateId,picS,picB,name,describe,price,originPrice,author,brand,publishDate,sellerId,isPChome,isNC17,couponActid,BU
DEDB8Z-A900F2WRJ,DEDB8Z,/items/DEDB8ZA900F2WRJ/000002_1653374413.jpg,/items/DEDB8ZA900F2WRJ/000001_1653374413.jpg,LOGIS｜90CM可坐收納鞋架椅 穿鞋椅 鞋櫃 椅凳【Z390】,"90CM可坐收納鞋架椅\r\n影片網址: https:  youtu.be b6i9zvwyqf8
坐墊內高回彈海綿舒適不易塌陷
多層式設計大容量收納
加粗加厚鐵管體架穩固承重強",1680,1680,,,,,1,0,"['C029577', 'C030628', 'C030293', 'C030323', 'C030625', 'C030626', 'C030627', 'C030324', 'C030640', 'C030639', 'C030638', 'C030641', 'C030295', 'C030647', 'C030325', 'C030645', 'C030644', 'C030298', 'C030646', 'C030651', 'C030652', 'C030326', 'C030653', 'C030300', 'C030650', 'C030658', 'C030302', 'C030327', 'C030656', 'C030657', 'C030659', 'C030328', 'C030305', 'C030189', 'C030307', 'C030329', 'C030308', 'C030330', 'C030309', 'C030331', 'C030332', 'C030310', 'C030311', 'C030333', 'C030312', 'C030334', 'C030335', 'C030313', 'C030336', 'C030314', 'C030340', 'C030318', 'C030341', 'C030319', 'C030315', 'C030337', 'C030316', 'C030338', 'C030339', 'C030317']",ec
DEABAP-A90066GJR,DEDB9K,/items/DEABAPA90066GJR/000001_1628665976.jpg,/items/DEABAPA90066GJR/000001_1628665976.jpg,樂活家 小七層鞋架 鞋櫃 拖鞋架,"樂活家小七層鞋架/鞋櫃/拖鞋架\r\n約可放7雙鞋(鞋款不同將造成誤差)
■30x28x83cm(±5cm)
■古典優美的設計適合家中各處擺設
■七格設計整齊擺放您的鞋子
■小巧直立不佔空間
■不需工具簡單diy組裝",939,939,,,,,1,0,"['C029577', 'C030628', 'C030293', 'C030323', 'C030625', 'C030626', 'C030627', 'C030324', 'C030640', 'C030639', 'C030638', 'C030641', 'C030295', 'C030647', 'C030325', 'C030645', 'C030644', 'C030298', 'C030646', 'C030651', 'C030652', 'C030326', 'C030653', 'C030300', 'C030650', 'C030658', 'C030302', 'C030327', 'C030656', 'C030657', 'C030659', 'C030328', 'C030305', 'C030189', 'C030307', 'C030329', 'C030308', 'C030330', 'C030309', 'C030331', 'C030332', 'C030310', 'C030311', 'C030333', 'C030312', 'C030334', 'C030335', 'C030313', 'C030336', 'C030314', 'C030340', 'C030318', 'C030341', 'C030319', 'C030315', 'C030337', 'C030316', 'C030338', 'C030339', 'C030317']",ec
QFAA9V-A90094HQZ,DEDB9C,/items/QFAA9VA90094HQZ/000001_1621320400.jpg,/items/QFAA9VA90094HQZ/000001_1621320400.jpg,Homelike 薇雅大腳丫鞋櫃(3色可選),"限時降▼原價$1999Homelike 薇雅大腳丫鞋櫃(2色可選)\r\n◆獨特的木作北歐居家風格
◆附活動層板，可微調高度
◆腳座挑高，隔離地面濕氣",1699,1699,,,,,1,0,"['C029577', 'C030628', 'C030293', 'C030323', 'C030625', 'C030626', 'C030627', 'C030324', 'C030640', 'C030639', 'C030638', 'C030641', 'C030295', 'C030647', 'C030325', 'C030645', 'C030644', 'C030298', 'C030646', 'C030651', 'C030652', 'C030326', 'C030653', 'C030300', 'C030650', 'C030658', 'C030302', 'C030327', 'C030656', 'C030657', 'C030659', 'C030328', 'C030305', 'C030189', 'C030307', 'C030329', 'C030308', 'C030330', 'C030309', 'C030331', 'C030332', 'C030310', 'C030311', 'C030333', 'C030312', 'C030334', 'C030335', 'C030313', 'C030336', 'C030314', 'C030340', 'C030318', 'C030341', 'C030319', 'C030315', 'C030337', 'C030316', 'C030338', 'C030339', 'C030317']",ec
QFAA9V-A9007X0AS,DEDB9C,/items/QFAA9VA9007X0AS/000001_1618890249.jpg,/items/QFAA9VA9007X0AS/000001_1618890249.jpg,Homelike 簡約二門收納鞋櫃(兩色可選),"Homelike 簡約二門收納鞋櫃(兩色可選)\r\n◆俐落的線條，簡約百搭外型
◆活動層板，可任意調整空間
◆雙門設計更能妥善保存鞋類
◆size:l:60 x w:31 x h:81cm",1073,1073,,,,,1,0,"['C029577', 'C030628', 'C030293', 'C030323', 'C030625', 'C030626', 'C030627', 'C030324', 'C030640', 'C030639', 'C030638', 'C030641', 'C030295', 'C030647', 'C030325', 'C030645', 'C030644', 'C030298', 'C030646', 'C030651', 'C030652', 'C030326', 'C030653', 'C030300', 'C030650', 'C030658', 'C030302', 'C030327', 'C030656', 'C030657', 'C030659', 'C030328', 'C030305', 'C030189', 'C030307', 'C030329', 'C030308', 'C030330', 'C030309', 'C030331', 'C030332', 'C030310', 'C030311', 'C030333', 'C030312', 'C030334', 'C030335', 'C030313', 'C030336', 'C030314', 'C030340', 'C030318', 'C030341', 'C030319', 'C030315', 'C030337', 'C030316', 'C030338', 'C030339', 'C030317']",ec
QFAB4C-A90078J4N,DEDB9K,/items/QFAB4CA90078J4N/000001_1627627666.jpg,/items/QFAB4CA90078J4N/000001_1627627666.jpg,【樂活家】六層鞋櫃/鞋架/胡桃色木紋/玄關/開放式置物收納櫃,"【樂活家】六層鞋櫃/胡桃色 60x30x90 cm\r\n簡約古典質感，木紋防潑水
多功能開放式分層收納空間
室內外均可搭配擺放",1249,1249,,,,,1,0,"['C029577', 'C030628', 'C030293', 'C030323', 'C030625', 'C030626', 'C030627', 'C030324', 'C030640', 'C030639', 'C030638', 'C030641', 'C030295', 'C030647', 'C030325', 'C030645', 'C030644', 'C030298', 'C030646', 'C030651', 'C030652', 'C030326', 'C030653', 'C030300', 'C030650', 'C030658', 'C030302', 'C030327', 'C030656', 'C030657', 'C030659', 'C030328', 'C030305', 'C030189', 'C030307', 'C030329', 'C030308', 'C030330', 'C030309', 'C030331', 'C030332', 'C030310', 'C030311', 'C030333', 'C030312', 'C030334', 'C030335', 'C030313', 'C030336', 'C030314', 'C030340', 'C030318', 'C030341', 'C030319', 'C030315', 'C030337', 'C030316', 'C030338', 'C030339', 'C030317']",ec
DEDB8Z-A900F2WRJ,DEDB8Z,/items/DEDB8ZA900F2WRJ/000002_1653374413.jpg,/items/DEDB8ZA900F2WRJ/000001_1653374413.jpg,LOGIS｜90CM可坐收納鞋架椅 穿鞋椅 鞋櫃 椅凳【Z390】,"90CM可坐收納鞋架椅\r\n影片網址: https:  youtu.be b6i9zvwyqf8
坐墊內高回彈海綿舒適不易塌陷
多層式設計大容量收納
加粗加厚鐵管體架穩固承重強",1680,1680,,,,,1,0,"['C029577', 'C030628', 'C030293', 'C030323', 'C030625', 'C030626', 'C030627', 'C030324', 'C030640', 'C030639', 'C030638', 'C030641', 'C030295', 'C030647', 'C030325', 'C030645', 'C030644', 'C030298', 'C030646', 'C030651', 'C030652', 'C030326', 'C030653', 'C030300', 'C030650', 'C030658', 'C030302', 'C030327', 'C030656', 'C030657', 'C030659', 'C030328', 'C030305', 'C030189', 'C030307', 'C030329', 'C030308', 'C030330', 'C030309', 'C030331', 'C030332', 'C030310', 'C030311', 'C030333', 'C030312', 'C030334', 'C030335', 'C030313', 'C030336', 'C030314', 'C030340', 'C030318', 'C030341', 'C030319', 'C030315', 'C030337', 'C030316', 'C030338', 'C030339', 'C030317']",ec
DEDDAF-A900AXXIW,DEDB8M,/items/DEDDAFA900AXXIW/000002_1662014883.jpg,/items/DEDDAFA900AXXIW/000001_1662014882.jpg,【澄境】MIT加深款雙門五層鞋櫃/收納櫃(2色),"【澄境】MIT加深款雙門五層鞋櫃/收納櫃(2色) 書櫃/置物櫃/玄關櫃\r\n●多元收納空間，可當鞋櫃 書櫃 置物櫃都適用
●雙門+開放式設計，收納更自在
●實木腳質感佳更穩固
●便利磁扣設計，拉門緊密貼合不易脫落
●上方超大置物平台
●加深加寬大容量，男鞋也放得下",1780,1780,,,,,1,0,"['C029577', 'C030628', 'C030293', 'C030323', 'C030625', 'C030626', 'C030627', 'C030324', 'C030640', 'C030639', 'C030638', 'C030641', 'C030295', 'C030647', 'C030325', 'C030645', 'C030644', 'C030298', 'C030646', 'C030651', 'C030652', 'C030326', 'C030653', 'C030300', 'C030650', 'C030658', 'C030302', 'C030327', 'C030656', 'C030657', 'C030659', 'C030328', 'C030305', 'C030189', 'C030307', 'C030329', 'C030308', 'C030330', 'C030309', 'C030331', 'C030332', 'C030310', 'C030311', 'C030333', 'C030312', 'C030334', 'C030335', 'C030313', 'C030336', 'C030314', 'C030340', 'C030318', 'C030341', 'C030319', 'C030315', 'C030337', 'C030316', 'C030338', 'C030339', 'C030317']",ec
DEAB4Q-A900AWNHD,DEDB8M,/items/DEAB4QA900AWNHD/000002_1661948700.jpg,/items/DEAB4QA900AWNHD/000001_1661948700.jpg,【fioJa 費歐家】 側開式 2列6層 組合鞋櫃 鞋架(鞋櫃 組合鞋櫃 ),"【fioJa 費歐家】 側開式 2列6層 組合鞋櫃 大容量多層組合收納鞋櫃\r\n讓您的鞋子有舒適空間!井然有序的排排站
鞋櫃可調整隔板，自由彈性運用~
收納各尺寸大鞋、小鞋更方便~

大容量多層組合收納鞋櫃，告別到處找鞋，
隔板可自由調整，短靴、長靴皆可輕鬆放置！
拆裝方便。擁有超大容量，完美收納你的愛鞋們！
堅固耐用，品質保證，買就附贈雨傘架喔！",1025,1025,,,,,1,0,"['C029577', 'C030628', 'C030293', 'C030323', 'C030625', 'C030626', 'C030627', 'C030324', 'C030640', 'C030639', 'C030638', 'C030641', 'C030295', 'C030647', 'C030325', 'C030645', 'C030644', 'C030298', 'C030646', 'C030651', 'C030652', 'C030326', 'C030653', 'C030300', 'C030650', 'C030658', 'C030302', 'C030327', 'C030656', 'C030657', 'C030659', 'C030328', 'C030305', 'C030189', 'C030307', 'C030329', 'C030308', 'C030330', 'C030309', 'C030331', 'C030332', 'C030310', 'C030311', 'C030333', 'C030312', 'C030334', 'C030335', 'C030313', 'C030336', 'C030314', 'C030340', 'C030318', 'C030341', 'C030319', 'C030315', 'C030337', 'C030316', 'C030338', 'C030339', 'C030317']",ec
DEDB8Z-A900B3WFQ,DEDB8Z,/items/DEDB8ZA900B3WFQ/000001_1611133116.jpg,/items/DEDB8ZA900B3WFQ/000001_1611133116.jpg,H&R安室家 日系優雅五層木質鞋櫃 SHF19,"H&R安室家 日系優雅五層木質鞋櫃 SHF19\r\n五層收納空間 
開放式拿取便利 
雙色配色不呆板",999,999,,,,,1,0,"['C029577', 'C030628', 'C030293', 'C030323', 'C030625', 'C030626', 'C030627', 'C030324', 'C030640', 'C030639', 'C030638', 'C030641', 'C030295', 'C030647', 'C030325', 'C030645', 'C030644', 'C030298', 'C030646', 'C030651', 'C030652', 'C030326', 'C030653', 'C030300', 'C030650', 'C030658', 'C030302', 'C030327', 'C030656', 'C030657', 'C030659', 'C030328', 'C030305', 'C030189', 'C030307', 'C030329', 'C030308', 'C030330', 'C030309', 'C030331', 'C030332', 'C030310', 'C030311', 'C030333', 'C030312', 'C030334', 'C030335', 'C030313', 'C030336', 'C030314', 'C030340', 'C030318', 'C030341', 'C030319', 'C030315', 'C030337', 'C030316', 'C030338', 'C030339', 'C030317']",ec
DEDB5T-A900B2GI9,DEDB8Z,/items/DEDB5TA900B2GI9/000001_1609142802.jpg,/items/DEDB5TA900B2GI9/000001_1609142802.jpg,H&R安室家 木製捲簾防塵鞋櫃 BCF51,"H&R安室家 木製捲簾防塵鞋櫃 BCF51\r\n木製高質感，防塵收納鞋架
多功能 大容量 適合外宿租屋者 小資族
木製diy防塵鞋櫃 貼心捲簾設計方便收取
附防塵罩 透氣、防潮又防塵",1099,1099,,,,,1,0,"['C029577', 'C030628', 'C030293', 'C030323', 'C030625', 'C030626', 'C030627', 'C030324', 'C030640', 'C030639', 'C030638', 'C030641', 'C030295', 'C030647', 'C030325', 'C030645', 'C030644', 'C030298', 'C030646', 'C030651', 'C030652', 'C030326', 'C030653', 'C030300', 'C030650', 'C030658', 'C030302', 'C030327', 'C030656', 'C030657', 'C030659', 'C030328', 'C030305', 'C030189', 'C030307', 'C030329', 'C030308', 'C030330', 'C030309', 'C030331', 'C030332', 'C030310', 'C030311', 'C030333', 'C030312', 'C030334', 'C030335', 'C030313', 'C030336', 'C030314', 'C030340', 'C030318', 'C030341', 'C030319', 'C030315', 'C030337', 'C030316', 'C030338', 'C030339', 'C030317']",ec
DEAB6G-A900AXH6P,DEDB8L,/items/DEAB6GA900AXH6P/000001_1602825935.jpg,/items/DEAB6GA900AXH6P/000001_1602825935.jpg,【fioJa費歐家】5門10層大容量掀式鞋櫃(收納/置物),"【fioJa費歐家】5門10層大容量掀式多層鞋櫃(收納/置物)\r\n掀蓋式附門設計，防塵保護愛鞋有專屬的空間~
在視覺上也可以讓空間更加簡潔美觀！

加大加寬設計，適合不同收納、置物、鞋櫃…等都好放喔~
中間層固定板設計，增加鞋櫃結構的穩固性，使用更安全~",948,948,,,,,1,0,"['C029577', 'C030628', 'C030293', 'C030323', 'C030625', 'C030626', 'C030627', 'C030324', 'C030640', 'C030639', 'C030638', 'C030641', 'C030295', 'C030647', 'C030325', 'C030645', 'C030644', 'C030298', 'C030646', 'C030651', 'C030652', 'C030326', 'C030653', 'C030300', 'C030650', 'C030658', 'C030302', 'C030327', 'C030656', 'C030657', 'C030659', 'C030328', 'C030305', 'C030189', 'C030307', 'C030329', 'C030308', 'C030330', 'C030309', 'C030331', 'C030332', 'C030310', 'C030311', 'C030333', 'C030312', 'C030334', 'C030335', 'C030313', 'C030336', 'C030314', 'C030340', 'C030318', 'C030341', 'C030319', 'C030315', 'C030337', 'C030316', 'C030338', 'C030339', 'C030317']",ec
DEDB8L-A900B6OGQ,DEDB8L,/items/DEDB8LA900B6OGQ/000001_1615440046.jpg,/items/DEDB8LA900B6OGQ/000001_1615440046.jpg,【fioJa費歐家】5門10層大容量上掀式鞋櫃(收納/置物),"【fioJa費歐家】5門10層大容量掀式多層鞋櫃(收納/置物)\r\n掀蓋式附門設計，防塵保護愛鞋有專屬的空間~
在視覺上也可以讓空間更加簡潔美觀！

加大加寬設計，適合不同收納、置物、鞋櫃…等都好放喔~
中間層固定板設計，增加鞋櫃結構的穩固性，使用更安全~

下單前可參考組裝影片
檔案名稱:組裝上掀式置物櫃 鞋櫃
https:  youtu.be 8no85toychk",998,998,,,,,1,0,"['C029577', 'C030628', 'C030293', 'C030323', 'C030625', 'C030626', 'C030627', 'C030324', 'C030640', 'C030639', 'C030638', 'C030641', 'C030295', 'C030647', 'C030325', 'C030645', 'C030644', 'C030298', 'C030646', 'C030651', 'C030652', 'C030326', 'C030653', 'C030300', 'C030650', 'C030658', 'C030302', 'C030327', 'C030656', 'C030657', 'C030659', 'C030328', 'C030305', 'C030189', 'C030307', 'C030329', 'C030308', 'C030330', 'C030309', 'C030331', 'C030332', 'C030310', 'C030311', 'C030333', 'C030312', 'C030334', 'C030335', 'C030313', 'C030336', 'C030314', 'C030340', 'C030318', 'C030341', 'C030319', 'C030315', 'C030337', 'C030316', 'C030338', 'C030339', 'C030317']",ec
